,std_AP_COM,std_ML_COM,std_vertical_COM,std_AP_vCOM,std_ML_vCOM,std_vertical_vCOM,max_AP_vCOM,max_ML_vCOM,std_vertical_aCOM,max_ML_aCOM,max_AP_aCOM,SS_duration_ratio,DS_duration_ratio,std_length,std_width,max_clearance,std_AP_COP,std_ML_COP,std_ML_vCOP,max_ML_vCOP,std_AP_vCOP,max_AP_vCOP,std_AP_aCOP,std_ML_aCOP,std_AP_xCOM,std_ML_xCOM,std_vertical_xCOM,mean_AP_MOS,mean_ML_MOS,std_AP_MOS,std_ML_MOS,mean_ML_SS_MOS,mean_ML_DS_MOS,max_ML_MOS,min_AP_MOS,min_ML_MOS,ROM_ML_MOS,mean_AP_IA,mean_ML_IA,std_AP_IA,std_ML_IA,target_performance
230,203.9272,7.1901,11.2164,294.8457,136.8088,279.8725,1553.3411,102.4322,7396.1528,5855.1381,54504.8244,0.78218,0.21782,211.9677,13.6458,98.1723,0.16172,0.02791,1.5463,0.27138,6.652,0.86462,2807.5536,656.9475,0.17556,0.01612,0.042717,-251.6504,-5.887,167.196,49.4333,-27.6506,72.264,96.9689,-836.2478,-87.6954,184.6643,-0.47146,-2.5188,6.8956,1.3291,Bad
231,210.9849,8.7539,13.5902,250.3277,195.4437,327.6369,3484.6358,262.0655,7931.405,8177.0661,40728.6323,0.72549,0.27451,214.622,13.9121,93.1619,0.13887,0.029578,4.4341,15.7384,16.775,149.3455,9549.7055,2479.5037,0.18907,0.025107,0.048521,-233.8258,-9.3804,97.7645,50.2052,-28.2481,40.484,89.9742,-467.9395,-82.9573,172.9314,1.8271,-3.7475,8.6494,1.4793,Bad
232,197.2955,8.2329,12.8357,167.3679,167.286,351.4786,3134.8714,306.2302,9483.1779,3712.8801,8926.3268,0.72549,0.27451,210.6307,10.3819,111.222,0.13909,0.027742,2.1074,15.7384,8.5224,59.2957,3572.6468,815.2149,0.18665,0.020039,0.05501,-269.7095,-3.6948,198.6205,55.7636,-28.5694,62.0453,97.5407,-826.2846,-100.6416,198.1823,-0.27271,2.4346,6.568,1.2593,Bad
233,206.808,7.3722,14.5808,178.3683,169.2696,348.0873,3238.3736,236.4021,8989.8996,5335.6648,9445.1661,0.76699,0.23301,215.443,9.0792,90.0732,0.16183,0.030813,1.3684,5.0765,6.6534,55.3576,2962.6017,647.4027,0.20533,0.021708,0.051677,-325.5557,-11.1071,226.7269,56.3896,-35.1611,68.0707,100.5997,-853.819,-91.9028,192.5025,-0.023022,-2.8456,6.9246,1.4494,Bad
234,40.9877,3.4867,0.83138,468.9548,24.929,115.8979,3224.0591,251.319,3657.3956,3333.7998,-3006.7689,1.0,0.0,212.4392,9.7749,113.412,0.15084,0.031796,1.8014,15.8952,7.1334,62.9862,3357.6539,851.3468,0.034351,0.002416,0.016677,-760.2387,-77.6906,48.2544,3.6287,-77.6906,6.464379166666666,-69.8623,-799.6288,-81.9469,12.0846,0.64597,0.39686,7.043,2.0159,Bad
235,196.2576,8.1508,12.0248,183.2722,133.2732,322.4783,2617.5562,164.6746,8919.7429,4439.3579,7914.5967,0.69608,0.30392,210.1593,8.3019,99.1614,0.15451,0.029366,1.3904,2.0866,6.7622,9.9095,3078.1632,626.8479,0.18056,0.014589,0.049769,-198.0212,15.0765,93.1733,45.853,-12.6394,78.5549,101.0319,-421.6472,-60.4688,161.5007,-0.63327,-2.6825,6.6425,1.3403,Bad
236,202.762,6.6328,12.4948,309.3077,117.1623,285.1712,1582.4703,234.6078,7708.0168,4200.3028,58884.9345,0.70874,0.29126,211.9191,8.3595,117.7919,0.12566,0.020671,1.6513,11.0357,28.5142,53.6649,14991.2697,1224.631,0.17507,0.013163,0.041185,-293.8599,0.89735,216.3356,49.0739,-19.8715,64.0692,97.3377,-835.8001,-93.8197,191.1574,9.9974,0.49284,10.8404,1.218,Bad
238,189.9468,6.5295,11.1679,493.1129,166.0467,309.0575,3363.8138,284.0449,6629.0489,3800.7091,59065.9002,0.78218,0.21782,210.2205,8.5954,100.2394,0.1653,0.029914,1.6502,12.9727,6.5608,51.5739,3082.8232,778.1809,0.18365,0.020976,0.045762,-303.3342,-15.0344,219.656,55.5123,-42.6423,81.5931,95.1069,-871.1917,-85.3682,180.4752,0.088377,2.5296,6.108,1.4901,Bad
239,198.6291,9.1566,13.9769,238.5104,188.2197,350.6784,3235.4031,275.7641,9160.0439,6294.9172,9330.7225,0.70755,0.29245,210.869,13.0974,110.9346,0.1731,0.038062,1.5017,2.3492,6.7452,56.0953,3069.0014,692.1711,0.17405,0.022641,0.052217,-248.197,-2.8253,192.3341,55.6567,-31.0172,65.3809,92.1528,-830.7165,-101.6012,193.754,0.38114,-2.8836,6.6745,1.7882,Bad
240,118.2797,10.0654,12.2657,458.0812,96.6099,180.9258,3120.9409,344.0363,7431.6762,3616.9089,8214.1787,1.0,0.0,204.8522,10.8787,96.8631,0.15174,0.035148,1.6115,11.4323,6.1392,44.1169,2757.3543,720.0814,0.07845,0.0073649,0.033708,-646.6052,-80.2918,205.3975,25.5885,-80.2918,6.464379166666666,9.8575,-818.929,-99.5458,109.4033,3.6186,1.9591,5.0475,1.9663,Bad
