,std_AP_COM,std_ML_COM,std_vertical_COM,std_AP_vCOM,std_ML_vCOM,std_vertical_vCOM,max_AP_vCOM,max_ML_vCOM,std_vertical_aCOM,max_ML_aCOM,max_AP_aCOM,SS_duration_ratio,DS_duration_ratio,std_length,std_width,max_clearance,std_AP_COP,std_ML_COP,std_ML_vCOP,max_ML_vCOP,std_AP_vCOP,max_AP_vCOP,std_AP_aCOP,std_ML_aCOP,std_AP_xCOM,std_ML_xCOM,std_vertical_xCOM,mean_AP_MOS,mean_ML_MOS,std_AP_MOS,std_ML_MOS,mean_ML_SS_MOS,mean_ML_DS_MOS,max_ML_MOS,min_AP_MOS,min_ML_MOS,ROM_ML_MOS,mean_AP_IA,mean_ML_IA,std_AP_IA,std_ML_IA,target_performance
229,206.1492,10.353,11.4533,153.2762,157.5001,279.2067,2669.6363,391.3636,12089.5231,55850.2296,62644.9075,0.73077,0.26923,217.5294,12.3819,110.4974,0.14666,0.029841,1.4482,8.974,5.6462,9.6189,2524.9009,631.782,0.1921,0.016613,0.042254,-216.1672,9.5222,104.9862,49.7945,-15.0255,76.1515,105.2818,-463.9282,-70.2857,175.5676,-0.96286,2.8547,7.1807,1.3101,Bad
230,198.254,6.6978,9.7894,161.2176,131.6789,256.2645,2501.9706,135.097,11922.5517,47358.5789,118399.7673,0.78218,0.21782,211.9677,13.6458,98.1723,0.16172,0.02791,1.5463,0.27138,6.652,0.86462,2807.5536,656.9475,0.18029,0.015776,0.039442,-246.2442,-8.6139,152.0537,49.7145,-28.6738,63.4194,103.9208,-838.2566,-98.6017,202.5225,-0.80238,-2.5593,6.6238,1.3471,Bad
231,205.3005,7.7472,12.3102,165.9695,181.5724,294.7952,3303.8993,250.9269,12322.7106,95899.0422,141081.8003,0.72549,0.27451,214.622,13.9121,93.1619,0.13887,0.029578,4.4341,15.7384,16.775,149.3455,9549.7055,2479.5037,0.18941,0.023372,0.04344,-227.9927,-7.67,103.7184,53.6547,-31.6977,55.8319,91.1107,-468.0503,-82.5335,173.6442,1.5892,-3.8224,8.4374,1.5008,Bad
232,198.0329,7.4835,11.1896,157.9698,153.9271,311.2028,3285.739,343.5744,12890.9282,58086.959,69157.3076,0.72549,0.27451,210.6307,10.3819,111.222,0.13909,0.027742,2.1074,15.7384,8.5224,59.2957,3572.6468,815.2149,0.18635,0.018541,0.048814,-270.325,-0.15807,202.1394,58.349,-31.1055,81.6316,98.4661,-834.935,-103.6651,202.1312,-0.27586,2.512,6.6009,1.2887,Bad
233,203.6048,6.6732,12.5886,162.3426,152.185,310.3556,3246.9831,202.929,11446.9665,43536.6803,56479.0767,0.76699,0.23301,215.443,9.0792,90.0732,0.16183,0.030813,1.3684,5.0765,6.6534,55.3576,2962.6017,647.4027,0.18811,0.019225,0.046188,-312.3845,-15.2435,229.1677,57.7749,-36.958,56.2335,106.322,-865.5475,-104.1345,210.4565,0.11584,-2.9103,6.7268,1.4793,Bad
234,46.2058,3.9175,1.6437,44.7913,53.1714,187.2108,3175.6893,331.8778,14659.7957,60123.5649,56479.0767,1.0,0.0,212.4392,9.7749,113.412,0.15084,0.031796,1.8014,15.8952,7.1334,62.9862,3357.6539,851.3468,0.045088,0.010308,0.028097,-804.1894,-81.5981,31.6393,11.976,-81.5981,6.497893333333333,-60.2191,-841.9166,-98.4297,38.2105,1.4618,0.41654,6.7298,1.9877,Bad
235,197.0625,7.3898,10.4923,170.1089,122.6142,286.6251,2566.0092,120.596,11755.6353,49070.542,86401.4241,0.69608,0.30392,210.1593,8.3019,99.1614,0.15451,0.029366,1.3904,2.0866,6.7622,9.9095,3078.1632,626.8479,0.18143,0.013545,0.044284,-198.7638,10.2606,98.0833,49.0794,-15.3631,68.947,100.7544,-433.1161,-68.2196,168.974,-0.6336,-2.7422,6.6837,1.3742,Bad
236,196.7297,6.2052,10.8985,141.3072,115.4735,265.9989,2734.859,279.1592,11923.0585,33643.0895,102277.1721,0.70874,0.29126,211.9191,8.3595,117.7919,0.12566,0.020671,1.6513,11.0357,28.5142,53.6649,14991.2697,1224.631,0.17913,0.013598,0.038657,-287.9396,3.4978,202.7785,49.1638,-20.9004,77.709,96.7841,-860.2142,-77.3934,174.1775,9.9045,0.52942,10.6482,1.2334,Bad
238,197.0349,6.151,10.112,155.8108,157.6256,285.9923,3300.1802,345.6737,11171.51,57800.2664,66864.254,0.78218,0.21782,210.2205,8.5954,100.2394,0.1653,0.029914,1.6502,12.9727,6.5608,51.5739,3082.8232,778.1809,0.18196,0.020139,0.042753,-303.6515,-23.0078,213.704,54.3406,-43.4715,48.6148,96.7013,-838.2409,-88.3604,185.0617,0.090153,2.5843,6.5328,1.5063,Bad
239,199.0602,8.2793,12.0286,192.5146,172.6774,307.0856,3232.6687,257.1696,10577.3324,59708.1661,35710.7538,0.70755,0.29245,210.869,13.0974,110.9346,0.1731,0.038062,1.5017,2.3492,6.7452,56.0953,3069.0014,692.1711,0.17803,0.020668,0.045774,-245.8126,-5.5713,195.3335,57.2426,-33.6484,62.3571,94.9227,-828.3143,-104.5713,199.494,0.39935,-2.9655,6.7424,1.8309,Bad
240,113.2084,9.3861,11.1652,173.2414,94.6692,162.0916,3040.6362,374.2692,11345.9296,43497.7653,24152.9481,1.0,0.0,204.8522,10.8787,96.8631,0.15174,0.035148,1.6115,11.4323,6.1392,44.1169,2757.3543,720.0814,0.088234,0.0091943,0.030001,-636.0688,-78.2563,185.1644,25.5375,-78.2563,6.497893333333333,14.8361,-784.4446,-105.4787,120.3148,4.1373,1.9984,5.1704,1.9945,Bad
